,Author_Name,Comment_Text,Updated_Time,Likes_Count
0,@guwapa0202,WOrd for today.  EVOLUTION AND REVOLOTIONARY,2024-09-02T11:57:02Z,0
1,@mrjamieson4741,If only I had enjoyed a crypto win like others ….. 😂 I would be spending those winnings on this 😂,2024-09-01T05:01:02Z,0
2,@kingsharnPD8,I love it,2024-08-22T19:17:26Z,0
3,@theretardredneck,Looks boring. I guess thats what we get for a “modern” design. My 08 v6 has more character than this. Only thing it has on mine is speed 👎,2024-08-20T17:43:16Z,0
4,@Elver_Galarga_jugo,The faster turn signal blinks come off as lower quality. Feels like they cheaped out on the sequential relay and thats why it blinks quicker. Alot like how people get cheap sequential kots for older mustangs and they blonk too fast.,2024-08-20T07:44:51Z,0
5,@pavelexaltatio8156,that is incredible. only one thought I have -“what I should do rn to farm on that masterpiece “,2024-08-14T20:28:00Z,0
6,@osvalditochirino3428,Remote rev nice also 485 hp is perfect little tune 500 the perfect t hp,2024-08-11T23:35:51Z,0
7,@DANIELCHUKWUKERE,"<a href=""https://www.youtube.com/watch?v=rvj7Qxhs05s&amp;t=348"">5:48</a> 😂😂😂 so we are going by the <b>&quot;Trust me bro, the mustang is good&quot;</b> yeah right..",2024-08-10T17:52:35Z,0
8,@killingjoke535,Looks like a corvette towards the back,2024-08-09T16:46:39Z,0
9,@leonjreawani1417,The current model of this car has two separate screens instead of this merged one. Why?,2024-08-04T00:25:22Z,0
10,@vertenzoid,Very beautiful car❤,2024-07-29T10:16:34Z,0
11,@charlenecantrell9133,It looks too much like a camaro.  I&#39;m not impressed.,2024-07-29T05:16:14Z,0
12,@user-wb1sw1tn6c,The feature to quiet your exhaust to not wake up the neighbors is pretty lame.,2024-07-13T09:31:15Z,0
13,@user-kr9zb2ng8i,The dash design with the two massive screens is an example of why you don&#39;t let 4th graders design sports car dashes.,2024-07-05T23:52:48Z,0
14,@w.e.s.,This screen on the dash crap on new cars is tacky. I hate it,2024-07-04T06:57:10Z,1
15,@w.e.s.,Why tf does the brakes flash when it revs?,2024-07-04T06:56:17Z,1
16,@Johnclark300,"Its not American made,and it&#39;s low quality control made in Mexico and China,and they aren&#39;t worth what the greedy Ford motor corporation are selling them for, I would rather have a 1969 mac 1 fast back with the original OEM parts on it. The new mustang is not a real mustang, it&#39;s a expensive sports car, it&#39;s not even a real muscle car, I know what a real muscle car is, enjoy your wanna be muscle car made in China.",2024-07-02T18:25:56Z,0
17,@outlandereveryday812,I have a 2007...best car ever!!!,2024-06-23T19:38:23Z,0
18,@dontezcristol3017,This car is hideous,2024-06-23T19:16:04Z,0
19,@augustomachur5366,"y le anda el motor? un auto deportivo que no se le escucha el motor, como los chicos jugando con la radio",2024-06-23T00:38:37Z,0
20,@bahaar5215,I hate the that every thing is on the screen <br>Please bring back buttons,2024-06-08T16:04:58Z,0
21,@Cpt_Chirp,No body does car reviews like Doug.,2024-06-03T14:19:42Z,0
22,@theanimalpoison,set electric piano disconnected unplugged,2024-06-02T08:47:16Z,0
23,@theanimalpoison,deputy sheriff d confiscate anearexia,2024-06-02T08:45:40Z,0
24,@theanimalpoison,confiscate anearexia,2024-06-02T08:45:03Z,0
25,@Jordanball-ib3iw,Looks better than the 2015-2023 mustangs,2024-05-29T08:32:06Z,0
26,@Biden-SUCKS548,"I want to like it, but I DONT!<br>That screen makes it look like any other car with a big screen when behind the wheel.",2024-05-20T22:28:17Z,0
27,@adrianagoh2721,I like this car so much I’m crying inside,2024-05-15T20:05:18Z,0
28,@DeannaSouders-sg6of,Deanna souders needs one asap I want 2024 conformable stick pearl white,2024-05-03T08:13:21Z,0
29,@alfredagreen336,Boo. It looks like a camaro. Bring back the old Mustang style.,2024-05-02T00:19:07Z,0
30,@markcotter5949,screens in cars should be banned,2024-05-01T19:49:49Z,0
31,@dasfahrer8187,Mustang/Camaro - the line no longer exists.,2024-04-25T00:33:54Z,0
32,@littlefeetvampire,Signature mustang sound❤❤❤,2024-04-23T12:52:49Z,0
33,@stevenschembri1288,The million dollar question I have is can you put an after market stereo in the new GT like I have in my &#39;04?  One of the many downsides to all these screens and &quot;too much technology&quot; in the cabin.  I have been wanted to buy a new one for awhile now but I am not a fan of the screens or the back exterior.,2024-04-15T19:23:05Z,0
34,@L6Jeremy,"I thought it was crazy that he was looking at this car two years ago, but to be fair we are looking at the 2026 Rivian R2 right now too",2024-04-04T01:51:14Z,0
35,@btingey,Lost me at the interior… fords target customer must be girls and soy boys.,2024-04-03T18:32:18Z,1
36,@ilovmusic22,Worst redesign ever!,2024-04-03T05:20:20Z,0
37,@mackrveli,Please put a v6 ecoboost on this instead!,2024-03-18T03:42:21Z,0
38,@southernrailfanning5516,"I bought my 2024 Mustang GT Premium with the Performance package. Let me say this, its almost like a dark horse!!!",2024-03-03T09:20:08Z,0
39,@MushtaqAhmedMohammad-lc8qf,Screen bezels are too thick,2024-02-25T21:14:46Z,0
40,@maheshtanay,Its all wheel drive?,2024-02-22T18:46:32Z,0
41,@MrBlahzay,"Please include the trunk space my guy, not a full tour.",2024-02-16T15:07:36Z,0
42,@rmb1,FORD THE “RECALL KINGS” NO THANKS,2024-02-15T17:48:10Z,0
43,@sameerapprevieww,"A perfect video without any special effects, as I like. Simple and awesome.",2024-02-14T16:48:54Z,0
44,@believeinyourself8932,Color name please,2024-02-14T11:57:33Z,0
45,@misterem2600,Props to Ford for not bending over for the global leftist climate cabal and producing an old school gasoline swilling V-8 sports car. You can take that iPad-dashboard thing and shove it though. I want to drive my Mustang because I want to get the hell AWAY from the touch-screen blue-lit app world.,2024-02-14T01:14:53Z,1
46,@MikaelsWorld7,Wow...great video,2024-02-12T11:20:06Z,0
47,@Kitty39ish,"Wow, what a beauty 😍",2024-02-11T19:50:14Z,1
48,@VisualAudioV,Love it!,2024-02-07T00:54:45Z,1
49,@PrinceZiim,"Ford needs to get their software down like it’s so laggy it really bothers me, idk if anyone else feels that way but even just to change the climate settings it’s lagging? Like this shouldn’t be an issue in 2024 at all",2024-02-03T20:56:36Z,0
50,@allthatsheiz,"They gave it a Camaro’s hips. Of course it looks better 😂 <a href=""http://www.youtube.com/results?search_query=%23chevybaby"">#chevybaby</a> 😜",2024-02-02T14:39:54Z,0
51,@joshjones3189,Camaro with a mustang grill?,2024-02-02T14:02:06Z,0
52,@jean_carlos_shells,Gives me a gtr vibe,2024-01-28T06:03:45Z,0
53,@newcarsrv,very nice,2024-01-23T10:10:55Z,1
54,@robisl5507,¡¿Mñ3,2024-01-21T11:01:04Z,0
55,@nathanielkadi9615,Best review,2024-01-13T11:07:07Z,0
56,@taemeister9302,Look at that vroom-vroom-boom-crash-oh-no-what-now boat on wheels,2024-01-11T04:15:37Z,0
57,@rahiljakir,Manual speedometer&gt;&gt;&gt;,2024-01-10T14:45:44Z,0
58,@live4aces,"Anyone got an extra 45,000 they can gift me? 😂",2024-01-01T10:05:26Z,1
59,@MIke-uv5cf,😂I think the American Mustang costs only 1 million baht.,2023-12-28T05:45:45Z,0
60,@TJ-Dives,Flashing lights and a horse . Reminds me of the old strip in Vegas. CHEESY😂,2023-12-27T19:43:09Z,0
61,@user-qm3tq7wo4e,How this color call ??,2023-12-21T18:51:35Z,0
62,@thinukawijerathne,🇺🇸❤,2023-12-20T07:03:41Z,0
63,@user-qx9mj8hm5h,🎉❤🎉,2023-12-10T16:39:54Z,0
64,@LuminousSoliloquy,"I&#39;m getting old, and I&#39;ve never owned a nice car..",2023-11-28T00:15:15Z,0
65,@Hasediel,"Too modern looking for a car that&#39;s supposed to evoke this &quot;old school, American muscle&quot; feel. I wish they took more design elements from their classic designs to be honest...",2023-11-17T05:40:12Z,1
66,@kiezersosay49,Looks like a camero...,2023-11-15T22:08:47Z,0
67,@CamFocusApp,"I was about to buy a 2018 version, and now I feel the need to wait untill this comes to my country",2023-11-06T12:58:54Z,2
68,@duckyman1755,i saw one of these before and they looks so awesome and i saw a dark horse as well i love the look,2023-10-29T23:52:24Z,1
69,@canyonproductions7683,Beauritul !!!,2023-10-22T17:01:12Z,1
70,@grdprojekt,"<a href=""https://www.youtube.com/watch?v=rvj7Qxhs05s&amp;t=274"">4:34</a> now that you said that, Dodge has never really updated the Challenger since the revival of it back in 2008. What&#39;s up with that? Even in 2008 it was a 2005 Chyrsler 300C chassis, which was a modified 1990s Mercedes. No wonder the Challenger is so cheap.",2023-10-21T02:08:51Z,0
71,@wyatterickson-sy2td,I blocked on this thinking it was just posted,2023-10-14T19:00:50Z,0
72,@Steinstra-vj7wl,News Flash...IT DOESN&#39;T LOOK LIKE A MUSTANG !!!,2023-10-14T01:02:51Z,0
73,@Jet-ek,my opinion is :<br><br>Front ✖️<br>Back ✔️<br>Sides ✔️,2023-10-12T14:38:21Z,0
74,@josijevic,Ford just No... looks like a Volvo 🤦 Best design had the 2016 version,2023-10-06T14:52:37Z,0
75,@ja01975,"Actually, the sequential blinking was from the mercury. Cougar mustang did not adapt this till the 90s I believe.",2023-10-03T15:42:16Z,1
76,@RiffShark007,"bruhhh, no way its been a year already since this video",2023-09-26T10:28:40Z,1
77,@MoMo-nv4to,As a mustang owner I hate this version.,2023-09-25T19:45:09Z,0
78,@spacemarine8289,"&#39;The last V8&#39;, this was a futuristic game I used to play on the old Commodore 64.",2023-09-22T12:23:26Z,0
79,@johnnyboy1586,"Saw one in a show room yesterday here in NZ  didnt have price displayed but know its gonna be twice as much as in usa and then some , but it looks amazing!😊",2023-09-19T21:04:40Z,1
80,@thegreypath1777,The Mustang has been ruined.,2023-09-11T15:41:45Z,0
81,@telluria1041,Screens look very cheap and poorly designed.,2023-09-10T20:09:12Z,0
82,@corysexton3970,The new inside sucks. It is not what it should be,2023-09-08T19:00:28Z,0
83,@albrustmeyer753,Body Camaro Mustang lol 😂. V8 👍😊,2023-09-07T01:13:46Z,1
84,@willyhwang1059,WTF<br>Screens of gimmicks<br>Wait till the module fails prematurely,2023-08-31T13:43:16Z,0
85,@klb12393,Ordering mine Monday 👀,2023-08-30T17:45:13Z,2
86,@paulholowicki2845,Wow now I don&#39;t know 2024 GT or the Basic? But still need a Bullitt,2023-08-26T17:35:47Z,0
87,@user-wg2hi5jv4t,Is it the vapor blue new color? Or is it grey?,2023-08-25T02:50:57Z,0
88,@avaio1,Those iPad screens are ugly? Why can&#39;t it be molded into the dash or something,2023-08-18T05:22:00Z,0
89,@ladariusjackson9974,Will they come with sunroofs,2023-08-14T23:53:27Z,0
90,@scottdean5496,"I love your enthusiasm!! A fantastic watch, you do your job extremely well enjoyed this presentation immensely.",2023-08-13T18:36:51Z,0
91,@bbaz6729,Hey Ford!  Chevrolet wants to know when you are returning the &quot;Camaro&quot; you wanted to borrow for &quot;photographs&quot;?,2023-08-13T17:19:20Z,1
92,@jigneshparmar20,Ford is gobla,2023-08-13T16:00:13Z,0
93,@cuzzineazie6952,Man this is a 2024 Ford Camaro minus the Beasty 6.2L.. Ford should be ashamed and sued. Well if you can&#39;t be them.. just copy them 🤣,2023-08-11T11:45:32Z,2
94,@greekfrenchman4434,The rev matching is annoying if you wanna just coast to a stop on the hiway,2023-08-10T04:47:22Z,0
95,@luechmillionz,That’s a Camaro 😂,2023-08-09T02:37:59Z,1
96,@VampireLord1995,Mustangs are my favorite type of cars because of their design. The new 2024 Mustang is no exception. This bad boy can is not only beautiful it&#39;s also packing a nice punch. The exterior and interior design of the car is absolutely stunning. Hopefully it can compete with some of its competitors.,2023-08-08T21:11:47Z,1
97,@gringogringo9650,Its the same car 😂 🎉 But the interior Look 😢 like Kia 🏎️💨,2023-08-07T16:49:16Z,0
98,@wubwubwubwubwubwubwub1871,easier for me to get in with my hard hat 🕺,2023-08-05T18:22:42Z,0
99,@montacermenni2412,What kind of color is that?? Pardon someone answers 👋,2023-08-03T18:04:33Z,1
100,@yty3029,"nothing really new or different, & I personally kind of like that with cars.",2023-08-02T13:40:05Z,0
101,@imbatman3620,"""THIS"" is the 2024 Mustang or is it a Mustang/Camaro hybrid 🤔🙄",2023-08-02T04:59:22Z,1
102,@DreamHachi,I wish the screens would’ve flowed better with the dash. Looks out of place imo.,2023-07-31T00:53:09Z,0
103,@Speedy-ms6ck,Completely redesigned?!?!?! I don’t think so!!!!!!,2023-07-30T08:10:13Z,0
104,@bakedfrenchtoast5689,I hate the interior. The screens ruin the driving experience for me.,2023-07-29T20:16:46Z,0
105,@nealfry2230,"I really Love the 2024 Mustang GT. 
   From 1983 'till 2013 I saved Thousands and millions of Dollars on my A/Z Plan from my Retirement at age 54 over 19 and a
Half years ago.
Getting paid for not Working is so
Sexy, almost as much Fun as Sex.
I'll Always be Proud of me Try Fry. 
See ya in the Rear view Mirror,
Neal Patrick Fry",2023-07-29T08:40:28Z,2
106,@diablotoluco11,This looks the same as my 21 chevrolet cámaro with different headlights 😊😊,2023-07-29T04:14:21Z,0
107,@phtevenchevas3960,"Good bye dual hump dashboard! It has always looked like it should have 2 steering wheels, terribly dated",2023-07-26T04:17:58Z,0
108,@TycoonMK,"when i watch your video you put a smile on my face, idk why!!! love you",2023-07-25T14:32:56Z,0
109,@gm313,"Why these giant screen pads like mercedes, why",2023-07-22T04:50:38Z,0
110,@DebjitKar-rm2cu,Which colour is it?,2023-07-22T03:27:40Z,0
111,@brianjcavanaugh,"I despise the speedo and tach in the Sport & Track modes.  A traditional dial is much more readable, especially at quick glances.  What were they thinking?",2023-07-21T22:00:35Z,0
112,@brianjcavanaugh,"No, rev matching does not make the driving experience more exciting.  Rev matching is for people who don't know how to drive a stick.",2023-07-21T21:58:09Z,0
113,@Ben-eh2bq,"I’m getting corvette competitor vibes, love it. Love the luxury interior as well but it it isn’t sporty enough",2023-07-16T13:58:22Z,0
114,@fsucre25,I don't like that tablet screen  it doesn't belong there in muscle 💪 car,2023-07-15T09:38:36Z,0
115,@JohnSmith39180,WAIT WHAT COLOR IS THIS????,2023-07-14T03:50:45Z,1
116,@AOqueso,The “gauge cluster” screen. Looks like they just stuck a cheap tablet above the steering wheel and called it a day.  Awful,2023-07-13T12:28:47Z,1
117,@suseelmarahattha5894,At this point it's just another european supercar where is that american pony or muscle design?,2023-07-09T13:00:36Z,0
118,@Cntctrl,Ngl i love more non hybrid and manual transmission mustang,2023-07-09T10:23:05Z,1
119,@pinstrps,Does this guy talk like Sheldon from Big Bang Theory all the time?,2023-07-08T02:33:58Z,0
120,@robinvandermast1250,Bezzels too big on lcd display... Its like im looking at a 2014 lenovo tablet..,2023-07-07T14:30:51Z,0
121,@the_lovelycouple,Mustang should now come with twin turbo ❤,2023-07-06T20:26:20Z,0
122,@kennethmelendez3620,I’m literally creaming 😮‍💨 I do t get how people don’t think they look sexy,2023-07-05T08:49:51Z,1
123,@McNubbys,DRIVE THE CAR....😐,2023-07-04T16:10:27Z,0
124,@kishoreprabhu4078,"It is a bit disappointing that Ford is not offering the eco boost with a manual transmission. The segment of buyers that want the “cheaper and less powerful” Mustang with stick shift will now have no option but to look at other options like the Brz. For street use, not everyone wants a GT and is willing to pay $45k+.",2023-07-03T15:54:39Z,0
125,@audiblefree78,WHO CAME HERE AFTER FUKRA INSAAN MENTION IT ON BIGG BOSS LIKE HERE,2023-07-03T08:04:17Z,0
126,@KDG_001,Looks like a camaro.,2023-07-02T22:09:27Z,1
127,@re-engineeringme9758,Looks like a Jaguar F type,2023-07-02T01:35:19Z,0
128,@alphasixfive1658,Nope,2023-07-01T13:31:40Z,0
129,@jayart8751,They should have made it look like a new version of the new edge generation,2023-06-30T11:20:50Z,0
130,@TheModernPioneer,"I like the car overall, but those electronic gauges are ugly as all hell.  It just looks like they slapped a big IPad behind the steering wheel.",2023-06-30T01:19:55Z,0
131,@AGC828,"I LIKES IT11 :)  Usually when any company  re-does any car  you  and they take a huge risk.  We might not agree with the  whatg the suits  thought up. This works on the 2024 Mustang GT outside and in. Smart of Ford  to update the screens...that IS part of the trend. 

Curious to know the  prformance numbers on an almost 500 HP GT...should be over 450 HP.  Also curious  about what  kind of  cameras  and ""drive assist modes"" it will have. Will it borrow from the explorer's tech e.g. 350 camera view, front and back parking sensors and  full -auto park??  On a Gt? Why not....the tech is there, tested and works. there might be parking situations  where ""full auto park""  might come in handy...

Look forwards to your  reive on the GT  in the coming months...and it sounded like a naturally aspirated v8....a PLUS",2023-06-29T14:52:07Z,0
132,@KingSev,"I’m staying with my S550 6th Gen 

The 7th Gen is NOT growing on me ! 

https://youtu.be/GGG7SmdN6DU",2023-06-28T03:37:26Z,0
133,@nhqbill,A true American car! Go Ford!,2023-06-27T04:34:15Z,0
134,@moldypizza__,bro travelled to the future to show us a car,2023-06-24T21:22:27Z,0
135,@ramkumarr1725,Mustang is in. ❤. RPA,2023-06-24T11:44:03Z,0
136,@thinkfastchucklenutss,"Super excited for the new model, I love you the callbacks to the older models with such subtle nods to the legacy of the Mustang. Hoping to get my hands on one one day!",2023-06-23T23:35:49Z,15
137,@jobothehobotv,What is the parking break for models without the drift brake?,2023-06-23T01:13:45Z,0
138,@nobilesnovushomo58,Since when do American cars look as good as the European ones?  I’m in heaven!,2023-06-22T05:44:06Z,0
139,@phoenixarizona472,"Best car ever, Ferrari is cool to",2023-06-21T15:35:30Z,0
140,@jordanwiens1921,Those gauges are so bad wow...,2023-06-20T18:22:15Z,0
141,@Amor1990,Too bad inflation is so high and no one can afford it,2023-06-19T13:03:28Z,1
142,@degascochin,My favourite... Whats the price,2023-06-18T03:01:25Z,0
143,@kalo_yt4457,Old is gold,2023-06-17T03:44:19Z,0
144,@niveketihw1897,The upper bezel on that driver display is unfortunate as it cuts off some of your view out the windshield for no reason.,2023-06-16T14:34:05Z,1
145,@JohnBrowningsGhost,"Completely disagree with the screen having all of the controls integral to it, Big Ipad dashboards are a blight on modern interior styling.",2023-06-14T02:43:56Z,0
146,@kevintaylor1928,"Go Doug! Loved your guest appearance with the Throttle House boys, very funny!",2023-06-13T23:59:27Z,1
147,@ericajohnson7535,"No, physical buttons for climate control are a must.  Touch screen is idiotic for those...",2023-06-13T13:31:18Z,0
148,@ericajohnson7535,"Hopefully the giant iPad will go out of fashion.  It's impractical, expensive and once it goes, you can't see anything.... edit: unless they make the dash 3D!  then that would be sick.",2023-06-13T13:29:24Z,0
149,@Darkhan9,"FFS, I was hoping for a better interior on the newer model. It still looks awful. They got rid of the legacy elements, which is what everyone was saying before, it's not outdated interior, it's classic. Well it's not classic anymore and still looks awful. God dammit Ford.",2023-06-12T16:20:18Z,0
150,@mannyr8091,"Awesome, I get the current trends and times for this generation blah blah blah. But this same car with traditional colors 1960s etc, and stripes and silver rims would make it a lot more epic. Also still too heavy and oversized, needs to be less bulky still. Still a 1000 times better than corvette’s transformer vibe 😖, Camaro and charger. 

Question in what Hwy in America are you legally allowed to feel this full performance, why sell something you can only use at half performance and for 2 minutes max, on a American highway 😁?

You have awesome videos 😎🍻👍🏼",2023-06-11T17:52:34Z,0
151,@arianfernandez4386,"Doug, could you do a video about the 2019-2020 Mustang Bullitt?",2023-06-10T21:48:58Z,0
152,@Headinavise,Every thing looks good....except for the instrument panel: tablet in front of the driver. So sad.,2023-06-08T16:46:05Z,0
153,@jasonpoole5132,Going to have to get one. Looks great.,2023-06-08T14:34:13Z,0
154,@Solid_Snake99,"from an italian, IT'S GORGEOUS !",2023-06-07T20:40:56Z,0
155,@clevlandblock,"The video parlor cinemascope display screen is just about a deal killer for me.  Next will be a wrap around 3-D, quasi theatrical digital display immersion package.  Just give me a few analog gauges.  It's just a god-damned Mustang, not an F-35 jet.",2023-06-07T17:19:35Z,0
156,@scottpannell2286,Thanks for the review Blippi!,2023-06-07T14:53:21Z,0
157,@BartholomewCounty,"Can we have a new law that automatically puts everyone's exhaust on 'very quiet' when your vehicle is in ANY city limit? Cars, trucks and motorcycles are way to loud now. I can't wait for everyone to have to buy 100% electric cars.",2023-06-06T02:03:12Z,0
158,@skipbrainless7527,No more California Special because Californias brain dead government decided to ban ICE cars,2023-06-05T19:19:06Z,0
159,@berserker4073,mach doch Kofferraum du Hund,2023-06-04T20:54:18Z,0
160,@Mark-xp5vo,New interrior sucks,2023-06-04T20:43:35Z,1
161,@prathameshstorage3234,Its ruined,2023-06-04T07:24:02Z,0
162,@gamingseries7608,"I don’t know why American car manufacturers can’t make nice interiors , it’s always dark , plastic basic and dull",2023-06-03T15:33:05Z,4
163,@tyhenson3159,It's a camaro with a swept roof line and a foot longer nose.,2023-06-02T19:21:45Z,2
164,@calebkent6706,Looks like a camaro and a mustang fused together,2023-06-02T18:37:53Z,3
165,@spanky1943,The screens make me cringe,2023-06-02T06:35:10Z,2
166,@aaronmeadows1667,Interior is not appealing.,2023-06-01T00:09:59Z,3
167,@brupleal,It's looking like a buffed coupe BMW of sorts 😑,2023-05-31T14:16:58Z,1
168,@s6xafterse7en,I can’t wait to pick up a GT or Dark Horse,2023-05-27T04:26:11Z,0
169,@joeythecar0_099,Barricade with a new alt mode hes from transformers.,2023-05-26T21:37:13Z,0
170,@arw4115,Nice camaroo,2023-05-26T06:46:35Z,1
171,@cuchhiman3272,I don't like screens on interior,2023-05-24T11:14:25Z,1
172,@powderslayer,And ford Europe decided too do a very gay raptor rNger fml,2023-05-22T22:13:21Z,0
173,@janvithavkar5634,One day she will with meee,2023-05-22T06:59:44Z,1
174,@orangesharpy,Why do the screens have such a thick bezels? Already looks dated. Also taking the dual hump dash away was not a good idea IMO.,2023-05-22T01:57:46Z,1
175,@chuck4abuck1,"Disgusted with the rainbow raptor dedication  for the lgbtq .
Did Ford not learn anything from Budweiser.
I will cancel the order of my 2024 Ford mustang",2023-05-20T16:38:39Z,1
176,@chuck4abuck1,I will cancel the order of my 2024 Ford mustang GT on Monday morning due to Ford's involvement with the lgbtq and their dedication of the raptor of rainbow look it up,2023-05-20T16:36:57Z,1
177,@chadborrall1351,"Reminds  of a Porsha body  ,I like  it but  i think the dash could be redone",2023-05-20T00:00:40Z,0
178,@michaelbevan1081,Yes please 😍,2023-05-19T19:41:14Z,0
179,@user-hf9dq8ej2d,"Hey guys, what's that color?  Maybe because of the lighting, it looks like two colors to me.",2023-05-19T05:41:27Z,0
180,@hectorvalles7197,"Ford listened to its customers, it’s got a real engine. Keeping the OG “MUSCLE” in “Mustang”… I got a nice scat but honestly might have to cop a new 5.0 this coming year. Fuck dodge.",2023-05-18T23:02:18Z,0
181,@jamieroseman4429,Holy shit this is the best Mustang yet.,2023-05-18T16:41:12Z,0
182,@jkd4568,my god those bezels on the screens look horrendous. not something a 2022 car should have,2023-05-18T11:04:59Z,0
183,@U-Love-cars,I hope they don’t make electric mustangs electric cars are fucking trash,2023-05-17T19:40:08Z,0
184,@OgNoisyboyDa2,It's looks like Jackson Strom from cars 3,2023-05-17T18:18:01Z,0
185,@Star-kp8oc,Doug been hitting the Gym i see.. looking like hulk hogan bro,2023-05-17T15:48:10Z,0
186,@mattrucker504,Doug don't missed,2023-05-16T02:34:53Z,0
187,@MrBossCav,"""Quiet start"" pertains to the option of not beeping the horn if the remote start procedure fails.  It has nothing to do with how quiet the exhaust is.  There is, however, a setting to have the exhaust on quiet mode when starting, but its not called ""Quiet Start""",2023-05-15T19:46:59Z,0
188,@CheesieTreesDrewG.,I cant finish the video. This voice is just a no. Its like a throw off Shmee.,2023-05-15T05:27:47Z,0
189,@mohammadali2777,Just launch in  india ford,2023-05-14T20:53:28Z,0
190,@Jop83,Not good dashboard..,2023-05-14T13:43:04Z,0
191,@saberterminal871,why does every car nowadays have a giant ipad in it,2023-05-14T05:12:59Z,0
192,@wesleysabin4078,Is there going to be a Convertible model?,2023-05-12T11:50:07Z,0
193,@zeffybsleepy,I don’t really care for the way they did this mustang but hey to each their own,2023-05-12T08:00:35Z,0
194,@tylerlawlerDEVGRU,QRF: Quick response force. First to respond anywhere in the world in a 20 min notice.,2023-05-12T05:00:11Z,0
195,@tylerlawlerDEVGRU,Tried to finance one in Kuwait. It wasn't my income that was a hindrance. There were no guarantees I'd make it back home.,2023-05-12T04:59:35Z,0
196,@1876UTB,Love the interior. It looks like it's from a late 80s Sci Fi movie.,2023-05-10T21:10:19Z,0
197,@GCT1990,"It looks too basic, like a box... And I don't like the back, the lights is weird",2023-05-09T05:29:18Z,0
198,@Gautam-lo5zy,What’s the color of the car in video? Is it vapor blue metallic?,2023-05-09T03:45:05Z,0
199,@jamesfeezer2586,"That looks sweet I liked the old dash better, although the throw back gauge clusters are cool. 
Kind of edgy putting that vent on the hood since most fords won't start in the rain. All these newer cars have all but taken the front end off. It's like if you removed the grill you see deep into the car. Definitely wouldn't be comfortable driving it in rain or slush.",2023-05-08T22:43:47Z,0
200,@jigarpatel941,Now that’s a car,2023-05-07T04:06:24Z,0
201,@richrollin1596,This guys annoying asf u need to relax lol.,2023-05-07T02:44:21Z,0
202,@frostyist9364,I’m only getting this because it looks model like a camaro and the camaro is ending and the interior doesn’t look like an ugly mess in this one. Any mustang before this I hate,2023-05-05T10:28:03Z,0
203,@whosjoe323,in 2050 it will be the high schoolers shitbox,2023-05-04T05:48:19Z,0
204,@ChachaChichundar,It looks more like a dodge car,2023-05-03T22:37:56Z,1
205,@xMisterMicidalx,Why does it look like a 1LE,2023-05-03T06:24:23Z,0
206,@johnnycage5513,when i searched shitstang i got your video doug. what a double whammy,2023-05-02T17:56:57Z,0
207,@latenightnessii,Looks sorta like a Camaro,2023-05-02T05:00:32Z,0
208,@toaster2596,"The rear is the focal point, and not bad to look at, but screams Corvette C8 to me. The side view is shapeless and the front is cluttered and clumsy",2023-05-01T21:11:35Z,0
209,@IVAO04ify,"Looks like a cross between a Camaro and a Charger. I honestly don't know what's so hard with going back to the 2005-2015 body style, upgrading the suspension and drivetran. Seriously, they could do a 3.5L V6 Eco-Boost the F-150 has and the 5.0 for GT. Offer the 5.2 Shelby Cobra again. Start prices V6 at 23k and GT 30k. Shelby 60k. Watch them fly off the showroom floor. Then introduce the all electric mustang. Not that shit thing they made, a real mustang. I swear then you cover all markets and sales. 

Then again maybe ford wants to be like Bud Light and just target specific people instead of making money.",2023-05-01T02:22:55Z,0
210,@ljs2274,Steering wheel looks like it belongs in a truck not a sports car,2023-04-29T21:13:58Z,0
211,@ljs2274,That dash is literary pathetic. Doesn’t fit the car at all. Horrible. Front and rear Looks like a Camaro. Sorry but this car is ugly. And Iv owned 4. 2 currently,2023-04-29T21:12:18Z,1
